pid,timestamp,STEP#count#weekdays_morning,STEP#count#weekdays_afternoon,STEP#count#weekdays_evening,STEP#count#weekdays_night,STEP#count#weekends_morning,STEP#count#weekends_afternoon,STEP#count#weekends_evening,STEP#count#weekends_night
417,2021-10-03,,,,,,7.0,,
417,2021-10-03,,,,,,,83.0,
417,2021-10-04,,33.0,,,,,,
417,2021-10-04,,,20.0,,,,,
417,2021-10-05,,,7.0,,,,,
417,2021-10-06,914.0,,,,,,,
417,2021-10-06,,1431.0,,,,,,
417,2021-10-07,,,1.0,,,,,
417,2021-10-08,,63.0,,,,,,
417,2021-10-09,,,,,2983.0,,,
417,2021-10-09,,,,,,35.0,,
417,2021-10-09,,,,,,,,6.0
417,2021-10-10,,,,,,403.0,,
417,2021-10-10,,,,,,,48.0,
417,2021-10-11,,1785.0,,,,,,
417,2021-10-11,,,1404.0,,,,,
417,2021-10-12,1146.0,,,,,,,
417,2021-10-12,,2618.0,,,,,,
417,2021-10-12,,,1809.0,,,,,
417,2021-10-13,92.0,,,,,,,
417,2021-10-13,,1429.0,,,,,,
417,2021-10-13,,,2.0,,,,,
417,2021-10-14,1460.0,,,,,,,
417,2021-10-14,,358.0,,,,,,
417,2021-10-14,,,3022.0,,,,,
417,2021-10-15,1101.0,,,,,,,
417,2021-10-15,,7.0,,,,,,
417,2021-10-16,,,,,21.0,,,
417,2021-10-16,,,,,,260.0,,
417,2021-10-17,,,,,11.0,,,
417,2021-10-17,,,,,,,20.0,
417,2021-10-18,183.0,,,,,,,
417,2021-10-18,,2986.0,,,,,,
417,2021-10-18,,,10.0,,,,,
417,2021-10-18,,,,1.0,,,,
417,2021-10-19,,1656.0,,,,,,
417,2021-10-19,,,85.0,,,,,
417,2021-10-22,,555.0,,,,,,
417,2021-10-22,,,11.0,,,,,
417,2021-10-23,,,,,,1561.0,,
417,2021-10-23,,,,,,,1939.0,
417,2021-10-24,,,,,14.0,,,
417,2021-10-24,,,,,,34.0,,
417,2021-10-24,,,,,,,18.0,
417,2021-10-24,,,,,,,,23.0
417,2021-10-25,34.0,,,,,,,
417,2021-10-25,,1438.0,,,,,,
417,2021-10-28,,1463.0,,,,,,
417,2021-10-28,,,9.0,,,,,
417,2021-10-29,13.0,,,,,,,
417,2021-10-29,,1572.0,,,,,,
417,2021-10-30,,,,,,,102.0,
417,2021-10-31,,,,,,,,11.0
417,2021-11-06,,,,,,261.0,,
417,2021-11-06,,,,,,,963.0,
417,2021-11-10,689.0,,,,,,,
417,2021-11-10,,,,7.0,,,,
421,2021-09-09,,35.0,,,,,,
421,2021-09-09,,,1103.0,,,,,
421,2021-09-10,510.0,,,,,,,
421,2021-09-10,,168.0,,,,,,
421,2021-09-10,,,1014.0,,,,,
421,2021-09-11,,,,,5.0,,,
421,2021-09-11,,,,,,29.0,,
421,2021-09-11,,,,,,,27.0,
421,2021-09-12,,,,,16.0,,,
421,2021-09-12,,,,,,46.0,,
421,2021-09-12,,,,,,,2.0,
421,2021-09-13,25.0,,,,,,,
421,2021-09-13,,35.0,,,,,,
421,2021-09-13,,,886.0,,,,,
421,2021-09-14,1271.0,,,,,,,
421,2021-09-14,,10.0,,,,,,
421,2021-09-15,4.0,,,,,,,
421,2021-09-15,,322.0,,,,,,
421,2021-09-15,,,1182.0,,,,,
421,2021-09-16,51.0,,,,,,,
421,2021-09-16,,753.0,,,,,,
421,2021-09-16,,,61.0,,,,,
421,2021-09-17,,,4.0,,,,,
421,2021-09-18,,,,,21.0,,,
421,2021-09-18,,,,,,174.0,,
421,2021-09-19,,,,,26.0,,,
421,2021-09-19,,,,,,159.0,,
421,2021-09-19,,,,,,,20.0,
421,2021-09-20,31.0,,,,,,,
421,2021-09-20,,123.0,,,,,,
421,2021-09-20,,,3.0,,,,,
421,2021-09-21,,,5.0,,,,,
421,2021-09-21,,,,1.0,,,,
421,2021-09-22,15.0,,,,,,,
421,2021-09-22,,46.0,,,,,,
421,2021-09-22,,,14.0,,,,,
421,2021-09-23,1140.0,,,,,,,
421,2021-09-23,,1089.0,,,,,,
421,2021-09-23,,,484.0,,,,,
421,2021-09-24,201.0,,,,,,,
421,2021-09-24,,56.0,,,,,,
421,2021-09-25,,,,,,66.0,,
421,2021-09-26,,,,,,1.0,,
421,2021-09-26,,,,,,,18.0,
421,2021-09-27,1016.0,,,,,,,
421,2021-09-27,,1302.0,,,,,,
421,2021-09-27,,,302.0,,,,,
421,2021-09-27,,,,1.0,,,,
421,2021-09-28,911.0,,,,,,,
421,2021-09-28,,231.0,,,,,,
421,2021-09-28,,,659.0,,,,,
421,2021-09-29,,49.0,,,,,,
421,2021-09-30,,12.0,,,,,,
421,2021-09-30,,,971.0,,,,,
421,2021-10-01,36.0,,,,,,,
421,2021-10-01,,282.0,,,,,,
421,2021-10-01,,,16.0,,,,,
421,2021-10-02,,,,,115.0,,,
421,2021-10-02,,,,,,65.0,,
421,2021-10-02,,,,,,,19.0,
421,2021-10-03,,,,,54.0,,,
421,2021-10-04,8.0,,,,,,,
421,2021-10-04,,4.0,,,,,,
421,2021-10-04,,,67.0,,,,,
421,2021-10-05,,18.0,,,,,,
421,2021-10-05,,,159.0,,,,,
421,2021-10-05,,,,9.0,,,,
421,2021-10-07,2.0,,,,,,,
421,2021-10-07,,18.0,,,,,,
421,2021-10-10,,,,,1.0,,,
421,2021-10-10,,,,,,164.0,,
421,2021-10-11,81.0,,,,,,,
421,2021-10-12,,9.0,,,,,,
421,2021-10-12,,,913.0,,,,,
421,2021-10-13,59.0,,,,,,,
421,2021-10-13,,1030.0,,,,,,
421,2021-10-13,,,5.0,,,,,
421,2021-10-14,295.0,,,,,,,
421,2021-10-16,,,,,20.0,,,
421,2021-10-16,,,,,,458.0,,
421,2021-10-16,,,,,,,14.0,
421,2021-10-17,,,,,,2.0,,
421,2021-10-17,,,,,,,45.0,
421,2021-10-18,587.0,,,,,,,
421,2021-10-18,,58.0,,,,,,
421,2021-10-19,49.0,,,,,,,
421,2021-10-19,,203.0,,,,,,
421,2021-10-19,,,563.0,,,,,
421,2021-10-20,,,467.0,,,,,
421,2021-10-22,1642.0,,,,,,,
421,2021-10-22,,167.0,,,,,,
421,2021-10-24,,,,,,429.0,,
421,2021-10-24,,,,,,,43.0,
421,2021-10-25,424.0,,,,,,,
421,2021-10-25,,178.0,,,,,,
421,2021-10-26,,2.0,,,,,,
421,2021-10-26,,,411.0,,,,,
421,2021-10-28,14.0,,,,,,,
421,2021-10-28,,262.0,,,,,,
421,2021-10-28,,,765.0,,,,,
421,2021-10-29,496.0,,,,,,,
421,2021-10-31,,,,,,11.0,,
421,2021-10-31,,,,,,,189.0,
421,2021-11-01,,,,7.0,,,,
421,2021-11-02,,8.0,,,,,,
421,2021-11-02,,,718.0,,,,,
421,2021-11-03,21.0,,,,,,,
421,2021-11-03,,100.0,,,,,,
421,2021-11-03,,,150.0,,,,,
421,2021-11-05,,12.0,,,,,,
421,2021-11-06,,,,,2.0,,,
421,2021-11-06,,,,,,67.0,,
421,2021-11-06,,,,,,,340.0,
421,2021-11-09,1628.0,,,,,,,
421,2021-11-09,,151.0,,,,,,
