pid,timestamp,UNLOCK_STATE#unlock_count#weekdays_morning,UNLOCK_STATE#total_duration#weekdays_morning,UNLOCK_STATE#unlock_count#weekdays_afternoon,UNLOCK_STATE#total_duration#weekdays_afternoon,UNLOCK_STATE#unlock_count#weekdays_evening,UNLOCK_STATE#total_duration#weekdays_evening,UNLOCK_STATE#unlock_count#weekdays_night,UNLOCK_STATE#total_duration#weekdays_night,UNLOCK_STATE#unlock_count#weekends_morning,UNLOCK_STATE#total_duration#weekends_morning,UNLOCK_STATE#unlock_count#weekends_afternoon,UNLOCK_STATE#total_duration#weekends_afternoon,UNLOCK_STATE#unlock_count#weekends_evening,UNLOCK_STATE#total_duration#weekends_evening,UNLOCK_STATE#unlock_count#weekends_night,UNLOCK_STATE#total_duration#weekends_night
700,2021-11-06,,,,,,,,,,,,,8.0,75266.329,,
700,2021-11-07,,,,,,,,,,,11.0,2375.8419999999996,,,,
700,2021-11-07,,,,,,,,,,,,,22.0,16184.346999999998,,
700,2021-11-08,3.0,4928.686000000001,,,,,,,,,,,,,,
700,2021-11-08,,,42.0,10230.754,,,,,,,,,,,,
700,2021-11-08,,,,,11.0,5229.193,,,,,,,,,,
700,2021-11-08,,,,,,,0.0,0.0,,,,,,,,
700,2021-11-09,,,25.0,14391.639,,,,,,,,,,,,
700,2021-11-09,,,,,8.0,42059.567,,,,,,,,,,
700,2021-11-10,5.0,5898.656999999999,,,,,,,,,,,,,,
700,2021-11-10,,,48.0,9994.264,,,,,,,,,,,,
700,2021-11-10,,,,,23.0,11251.29,,,,,,,,,,
700,2021-11-11,7.0,5724.241,,,,,,,,,,,,,,
700,2021-11-11,,,15.0,13830.376,,,,,,,,,,,,
700,2021-11-11,,,,,,,1.0,34979.963,,,,,,,,
700,2021-11-12,,,6.0,15979.939000000002,,,,,,,,,,,,
700,2021-11-12,,,,,4.0,45185.205,,,,,,,,,,
700,2021-11-13,,,,,,,,,5.0,19898.968,,,,,,
700,2021-11-13,,,,,,,,,,,13.0,13928.225999999999,,,,
700,2021-11-13,,,,,,,,,,,,,7.0,24195.742000000002,,
