pid,timestamp,TYPING#SOCIAL_count#weekends_afternoon,TYPING#SOCIAL_total#weekends_afternoon,TYPING#NON-SOCIAL_count#weekends_afternoon,TYPING#NON-SOCIAL_total#weekends_afternoon
741,1969-12-07,6265.0,0.245,611.0,0.0
742,1969-12-07,8783.0,7.111,1085.0,0.0
747,1969-12-07,697.0,0.0,893.0,0.719
754,1969-12-07,1460.0,0.0,2088.0,0.915
758,1969-12-07,2529.0,10.046,1519.0,0.0
761,1969-12-07,5616.0,0.427,443.0,0.0
765,1969-12-07,13741.0,0.181,2727.0,0.0
769,1969-12-07,21541.0,5.175,1793.0,0.0
771,1969-12-07,15610.0,361.666,357.0,0.0
786,1969-12-07,5755.0,0.0,1287.0,3.802
788,1969-12-07,23623.0,0.0,2761.0,3.163
797,1969-12-07,16800.0,147.622,2303.0,0.0
802,1969-12-07,233.0,6.328,343.0,0.0
809,1969-12-07,6980.0,0.0,1727.0,1.618
837,1969-12-07,2273.0,0.197,1659.0,0.0
839,1969-12-07,2593.0,976.816,3622.0,0.0
846,1969-12-07,77341.0,0.468,3788.0,0.0
849,1969-12-07,1910.0,0.0,553.0,0.0
852,1969-12-07,2449.0,0.0,1947.0,0.0
863,1969-12-07,58.0,77.575,107.0,0.0
867,1969-12-07,1272.0,0.0,5432.0,1.026
